id,qname,heading,text,type,diagram,website,updated
,TrafficSignal,TrafficSignal,A traffic control device that is used to control traffic flow at intersections or pedestrian crossings using lights.,Class,https://w3id.org/itsdata/regulation/v1/diagrams/TrafficSignal.dot.svg,https://w3id.org/itsdata/regulation/v1/TrafficSignal,2026-07-21T18:08:15.348954
,TrafficSignalDevice,TrafficSignalDevice,"A device that is used to control traffic signals, including traffic lights and warning beacons.",Class,https://w3id.org/itsdata/regulation/v1/diagrams/TrafficSignalDevice.dot.svg,https://w3id.org/itsdata/regulation/v1/TrafficSignalDevice,2026-07-21T18:08:15.348954
,TroStatusCode,TroStatusCode,A code indicating the lifecycle status of a traffic regulation order,Class,https://w3id.org/itsdata/regulation/v1/diagrams/TroStatusCode.dot.svg,https://w3id.org/itsdata/regulation/v1/TroStatusCode,2026-07-21T18:08:15.348954
,TunnelCategoryCode,TunnelCategoryCode,A code that indicates categories of tunnels that can affect the applicability of a regulation.,Class,https://w3id.org/itsdata/regulation/v1/diagrams/TunnelCategoryCode.dot.svg,https://w3id.org/itsdata/regulation/v1/TunnelCategoryCode,2026-07-21T18:08:15.348954
,VersionedCondition,VersionedCondition,A specific version of a condition that can be referenced by a ConditionReference.,Class,https://w3id.org/itsdata/regulation/v1/diagrams/VersionedCondition.dot.svg,https://w3id.org/itsdata/regulation/v1/VersionedCondition,2026-07-21T18:08:15.348954
,WarningBeacon,WarningBeacon,A device that is used to warn road users of potential hazards or to draw attention to specific conditions using lights or signals.,Class,https://w3id.org/itsdata/regulation/v1/diagrams/WarningBeacon.dot.svg,https://w3id.org/itsdata/regulation/v1/WarningBeacon,2026-07-21T18:08:15.348954
,accessControlType,accessControlType,A code that indicates the type of access control device.,ObjectProperty,,https://w3id.org/itsdata/regulation/v1/accessControlType,2026-07-21T18:08:15.348954
,applicableLocation,applicableLocation,The location associated with the condition.,ObjectProperty,,https://w3id.org/itsdata/regulation/v1/applicableLocation,2026-07-21T18:08:15.348954
,arrowDirection,arrowDirection,A direction that is indicated on the road sign.,ObjectProperty,,https://w3id.org/itsdata/regulation/v1/arrowDirection,2026-07-21T18:08:15.348954
,associatedTrafficControlDevice,associatedTrafficControlDevice,A traffic control device associated with the instance of the traffic regulation.,ObjectProperty,,https://w3id.org/itsdata/regulation/v1/associatedTrafficControlDevice,2026-07-21T18:08:15.348954
,authorizingTrafficRegulation,authorizingTrafficRegulation,A traffic regulation that authorizes the instance of the traffic control device.,ObjectProperty,,https://w3id.org/itsdata/regulation/v1/authorizingTrafficRegulation,2026-07-21T18:08:15.348954
,channelizationType,channelizationType,A code that indicates the type of channelization device.,ObjectProperty,,https://w3id.org/itsdata/regulation/v1/channelizationType,2026-07-21T18:08:15.348954
,comparisonOperator,comparisonOperator,The operator used to compare the value to the threshold value.,ObjectProperty,,https://w3id.org/itsdata/regulation/v1/comparisonOperator,2026-07-21T18:08:15.348954
,destinationHorizon,destinationHorizon,The distance to the destination or the time to the destination.,ObjectProperty,,https://w3id.org/itsdata/regulation/v1/destinationHorizon,2026-07-21T18:08:15.348954
,destinationPlace,destinationPlace,The place to which the road sign is pointing.,ObjectProperty,,https://w3id.org/itsdata/regulation/v1/destinationPlace,2026-07-21T18:08:15.348954
,destinationRoad,destinationRoad,The road to which the road sign is pointing.,ObjectProperty,,https://w3id.org/itsdata/regulation/v1/destinationRoad,2026-07-21T18:08:15.348954
,divergeHorizon,divergeHorizon,The distance between the sign and the junction or diverge point that leads to the point of interest.,ObjectProperty,,https://w3id.org/itsdata/regulation/v1/divergeHorizon,2026-07-21T18:08:15.348954
,divergeName,divergeName,"The name of the point of interest (e.g., destination or current location for direction 0).",ObjectProperty,,https://w3id.org/itsdata/regulation/v1/divergeName,2026-07-21T18:08:15.348954
